,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
0,"au,gov,qld,justice,mogservices",6,au,gov,qld,justice,mogservices,,,,,,mogservices.justice.qld.gov.au
1,"au,gov,health,business",9,au,gov,health,business,,,,,,,business.health.gov.au
2,"au,gov,qld,sasvrc",173,au,gov,qld,sasvrc,,,,,,,sasvrc.qld.gov.au
3,"au,gov,qld,qfes,dmlms",4,au,gov,qld,qfes,dmlms,,,,,,dmlms.qfes.qld.gov.au
4,"au,gov,wa,kwinana,maps",4,au,gov,wa,kwinana,maps,,,,,,maps.kwinana.wa.gov.au
5,"au,gov,sa,archives,test",56786,au,gov,sa,archives,test,,,,,,test.archives.sa.gov.au
6,"au,gov,nsw,schools,flinders-p",572,au,gov,nsw,schools,flinders-p,,,,,,flinders-p.schools.nsw.gov.au
7,"au,gov,qld,mypolice,stats",214,au,gov,qld,mypolice,stats,,,,,,stats.mypolice.qld.gov.au
8,"au,gov,qld,brisbane,flood",10,au,gov,qld,brisbane,flood,,,,,,flood.brisbane.qld.gov.au
9,"au,gov,npru",83,au,gov,npru,,,,,,,,npru.gov.au
10,"au,gov,vic,pete,gftp",7,au,gov,vic,pete,gftp,,,,,,gftp.pete.vic.gov.au
11,"au,gov,vic,betterboating",116,au,gov,vic,betterboating,,,,,,,betterboating.vic.gov.au
12,"au,gov,sa,lga,fsgdb",2,au,gov,sa,lga,fsgdb,,,,,,fsgdb.lga.sa.gov.au
13,"au,gov,frli",2404,au,gov,frli,,,,,,,,frli.gov.au
14,"au,gov,nsw,dcj,remote",2,au,gov,nsw,dcj,remote,,,,,,remote.dcj.nsw.gov.au
15,"au,gov,wa,albany",23037,au,gov,wa,albany,,,,,,,albany.wa.gov.au
16,"au,gov,vic,defence",189,au,gov,vic,defence,,,,,,,defence.vic.gov.au
17,"au,gov,nsw,ctc,khancoban",24,au,gov,nsw,ctc,khancoban,,,,,,khancoban.ctc.nsw.gov.au
18,"au,gov,nsw,schools,penshurstw-p",306,au,gov,nsw,schools,penshurstw-p,,,,,,penshurstw-p.schools.nsw.gov.au
19,"au,gov,tas,tasmaniacentral",3909,au,gov,tas,tasmaniacentral,,,,,,,tasmaniacentral.tas.gov.au
20,"au,gov,nsw,schools,bathursts-p",202,au,gov,nsw,schools,bathursts-p,,,,,,bathursts-p.schools.nsw.gov.au
21,"au,gov,asic,graduates",626,au,gov,asic,graduates,,,,,,,graduates.asic.gov.au
22,"au,gov,bom,todd4",23,au,gov,bom,todd4,,,,,,,todd4.bom.gov.au
23,"au,gov,defence,deco",1,au,gov,defence,deco,,,,,,,deco.defence.gov.au
24,"au,gov,vic,portphillip,nas",1,au,gov,vic,portphillip,nas,,,,,,nas.portphillip.vic.gov.au
25,"au,gov,esafety,forms",8,au,gov,esafety,forms,,,,,,,forms.esafety.gov.au
26,"au,gov,vic,melbourne,filming",13,au,gov,vic,melbourne,filming,,,,,,filming.melbourne.vic.gov.au
27,"au,gov,wa,albany,sprung",4117,au,gov,wa,albany,sprung,,,,,,sprung.albany.wa.gov.au
28,"au,gov,wa,slwa,bookmarks",4421,au,gov,wa,slwa,bookmarks,,,,,,bookmarks.slwa.wa.gov.au
29,"au,gov,industry,charts",45,au,gov,industry,charts,,,,,,,charts.industry.gov.au
30,"au,gov,govspace,skillsconnect",40,au,gov,govspace,skillsconnect,,,,,,,skillsconnect.govspace.gov.au
31,"au,gov,nsw,schools,bathurstw-p",398,au,gov,nsw,schools,bathurstw-p,,,,,,bathurstw-p.schools.nsw.gov.au
32,"au,gov,vic,shipwreckcoast",11,au,gov,vic,shipwreckcoast,,,,,,,shipwreckcoast.vic.gov.au
33,"au,gov,nsw,gilgandra",1325,au,gov,nsw,gilgandra,,,,,,,gilgandra.nsw.gov.au
34,"au,gov,sa,naturalresources,plantselector",258,au,gov,sa,naturalresources,plantselector,,,,,,plantselector.naturalresources.sa.gov.au
